開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註
0580,00UE087,師培學院,,,,,,,實地學習（A）（教）,Field Lesson(A),0.0,選,半,葉怡芬,,50,0,◎限 資優教育學程生 可修,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。
0581,00UE088,師培學院,,,,,,,實地學習（B）（教）,Field Lesson(B),0.0,選,半,葉怡芬,,50,0,◎限 資優教育學程生 可修,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。
0582,00UE089,師培學院,,,,,,,實地學習（C）（教）,Field Lesson(C),0.0,選,半,葉怡芬,,50,0,◎限 資優教育學程生 可修,本課程係期末彙整實地學習時數加註成績單用，不涉選課。如欲採認實地學習時數請洽各系辦或師培課程組。
0583,00UE094,師培學院,,,,,,,數學探究與實作（教）,Inquiry and Practice in Mathematics,2.0,選,半,謝佳叡,一 8-9 公館 數學館M212,50,34,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修,
0584,00UE097,師培學院,,,,,,,親職教育與親師合作（教）,Parent Education : Families and Schools Working Together,2.0,選,半,張民杰,四 3-4 和平 樸301,50,65,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 可修,
0585,00UE099,師培學院,A,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,陳宏彰,三 8-9 和平 教312,50,43,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0586,00UE099,師培學院,B,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,陳宏彰,四 6-7 和平 誠208,50,57,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0587,00UE099,師培學院,C,,,,,,教育政策與法令（教）,Education Policy and Law,2.0,選,半,鍾德馨,一 A-B 和平 誠108,50,66,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,
0588,00UE102,師培學院,A,,,,,,職業教育與訓練暨生涯規劃（教）,Vocational Education Training and Career Planning,1.0,必,半,顏龍源,◎密集課程,50,72,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,1.密集課程，每週上課2小時，持續8週。選修本課程者視同接受實際上課時間為：2/26、3/12、3/19、3/26、4/2、4/9、4/16、4/23皆須連續上第B-C節。本學期此時段不得再安排其他課程，避免衝堂之情事發生。  2.欲停修該密集課程，請於115/2/26~4/23前提出線上申請。
0589,00UE102,師培學院,B,,,,,,職業教育與訓練暨生涯規劃（教）,Vocational Education Training and Career Planning,1.0,必,半,顏龍源,◎密集課程,50,65,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,1.密集課程，每週上課2小時，持續8週。選修本課程者視同接受實際上課時間為：3/5、4/30、5/7、5/14、5/21、5/28、6/4、6/11皆須連續上第B-C節。本學期此時段不得再安排其他課程，避免衝堂之情事發生。    2.欲停修該密集課程，請於115/3/5~6/11前提出線上申請。
0590,00UE102,師培學院,C,,,,,,職業教育與訓練暨生涯規劃（教）,Vocational Education Training and Career Planning,1.0,必,半,吳淑禎,◎密集課程,50,59,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,1.密集課程，每週上課2小時，持續8週，不接受第3週才加選，第1週即列記出缺席。選修本課程者視同接受實際上課時間為：2/24、3/3、3/10、3/17、3/24、3/31、4/7、4/14皆須連續上第6-7節。本學期此時段不得再安排其他課程，避免衝堂之情事發生。    2.欲停修該密集課程，請於115/2/24~4/14前提出線上申請。
0591,00UE102,師培學院,D,,,,,,職業教育與訓練暨生涯規劃（教）,Vocational Education Training and Career Planning,1.0,必,半,吳淑禎,◎密集課程,50,60,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,1.密集課程，每週上課2小時，持續8週，不接受第3週才加選，第1週即列記出缺席。選修本課程者視同接受實際上課時間為：2/24、3/3、3/10、3/17、3/24、3/31、4/7、4/14皆須連續上第A-B節。本學期此時段不得再安排其他課程，避免衝堂之情事發生。    2.欲停修該密集課程，請於115/2/24~4/14前提出線上申請。
0592,00UE102,師培學院,E,,,,,,職業教育與訓練暨生涯規劃（教）,Vocational Education Training and Career Planning,1.0,必,半,徐秀婕,◎密集課程,45,47,◎限 一階生 二階生 教育學程生 不佔名額生 登記修習生 資優教育學程生 國小教育學程生 國小不佔名額生 可修,1.密集課程，每週上課2小時，持續8週。選修本課程者視同接受實際上課    時間為：2/25、3/4、3/11、3/18、3/25、4/1、4/8、4/15皆須連續上第6-7節，其中一次須參加校外技職體驗課程；本學期此時段不得再安排其他課程，避免衝堂之情事發生。2.欲停修該密集課程，請於115/2/25~4/15前提出線上申請。
